"","wordcloud_bigram_oo$ngrams","cat_sent_oo","wordcloud_bigram_oo$freq"
"13626","silent weeks ","Neutral",1
"13627","basically amounting ","Neutral",1
"13628","sidekick stood ","Neutral",1
"13629","order load ","Neutral",1
"13630","c o ","Neutral",1
"13631","o flying ","Positive",1
"13632","leaves almost ","Neutral",1
"13633","stuck several ","Negative",1
"13634","deal similar ","Positive",1
"13635","responsibility reverse ","Neutral",1
"13636","clearly prejudice ","Neutral",1
"13637","helpfull staff ","Neutral",1
"13638","negotiate contract ","Negative",1
"13639","mum wouldn ","Neutral",1
"13640","paying lines ","Neutral",1
"13641","want investigate ","Positive",1
"13642","jenelle lying ","Negative",1
"13643","even point ","Neutral",1
"13644","call queue ","Neutral",1
"13645","handset"", ""awful ","Negative",1
"13646","said may ","Neutral",1
"13647","amended requested ","Neutral",1
"13648","code even ","Neutral",1
"13649","provide convince ","Positive",1
"13650","yorkshire man"", ","Neutral",1
"13651","none original ","Neutral",1
"13652","now struggling ","Negative",1
"13653","truthful nothing ","Positive",1
"13654","getting today ","Neutral",1
"13655","even browsing ","Neutral",1
"13656","answer ive ","Neutral",1
"13657","previously know ","Neutral",1
"13658","sims tablet ","Neutral",1
"13659","keep terrible ","Negative",1
"13660","o fault"", ","Negative",1
"13661","unacceptable work ","Negative",1
"13662","away misselling ","Neutral",1
"13663","ones now ","Neutral",1
"13664","elses much ","Neutral",1
"13665","agreement sound ","Positive",1
"13666","far essentially ","Neutral",1
"13667","see lawyeredit ","Neutral",1
"13668","cut samson ","Negative",1
"13669","mess order ","Negative",1
"13670","p min ","Neutral",1
"13671","rectify system ","Positive",1
"13672","personal injury ","Negative",1
"13673","shop sold ","Neutral",1
"13674","happy well ","Positive",1
"13675","someone battled ","Negative",1
"13676","afraid days"", ","Negative",1
"13677","commit contract ","Negative",1
"13678","loyal customersfunny ","Positive",1
"13679","sometimes insulting ","Negative",1
"13680","depo closed ","Neutral",1
"13681","o activate ","Neutral",1
"13682","came hour ","Neutral",1
"13683","jokes lot"", ","Positive",1
"13684","messing final ","Neutral",1
"13685","livechat agent ","Neutral",1
"13686","company around ","Neutral",1
"13687","typed details ","Neutral",1
"13688","star much ","Positive",1
"13689","callbacks naturally ","Neutral",1
"13690","lies cunning ","Negative",1
"13691","staff appalling ","Negative",1
"13692","update elusive ","Neutral",1
"13693","customers hysterical ","Negative",1
"13694","failure got ","Negative",1
"13695","back message ","Neutral",1
"13696","back onto ","Neutral",1
"13697","switchboard plus ","Neutral",1
"13698","""ordered next ","Neutral",1
"13699","improve infrastructure ","Positive",1
"13700","
""switched sim ","Neutral",1
"13701","without waiting ","Neutral",1
"13702","tesco"", 
""begin ","Neutral",1
"13703","ve never ","Neutral",1
"13704","tariff today ","Negative",1
"13705","visit due ","Positive",1
"13706","incorrect balance ","Negative",1
"13707","make laugh ","Positive",1
"13708","hear letter ","Neutral",1
"13709","june refund ","Positive",1
"13710","allowed third ","Neutral",1
"13711","clear things ","Positive",1
"13712","call people ","Neutral",1
"13713","£k home ","Neutral",1
"13714","later customer ","Neutral",1
"13715","registered live ","Neutral",1
"13716","less make ","Neutral",1
"13717","hence fact ","Neutral",1
"13718","""even bother ","Negative",1
"13719","yes probably ","Positive",1
"13720","retaining consumer ","Neutral",1
"13721","tania o ","Neutral",1
"13722","tell cancelled ","Negative",1
"13723","told iphones ","Neutral",1
"13724","file transfer ","Neutral",1
"13725","products ignore ","Negative",1
"13726","soon send ","Neutral",1
"13727","sorry taher ","Negative",1
"13728","coming expensive ","Negative",1
"13729","law rejected ","Negative",1
"13730","wish contract"", ","Positive",1
"13731","something similar ","Neutral",1
"13732","comes explain ","Neutral",1
"13733","contract"", 
""poor ","Negative",1
"13734","one entirely ","Neutral",1
"13735","complete stalemate ","Negative",1
"13736","mine also ","Neutral",1
"13737","want try ","Neutral",1
"13738","without huge ","Neutral",1
"13739","phone world ","Neutral",1
"13740","arrest now ","Negative",1
"13741","spiel ll ","Neutral",1
"13742","british o ","Neutral",1
"13743","masts home ","Neutral",1
"13744","months admit ","Positive",1
"13745","right numbers ","Positive",1
"13746","march opted ","Neutral",1
"13747","specifically ask ","Neutral",1
"13748","time blood ","Neutral",1
"13749","advance vat ","Positive",1
"13750","addy searched ","Neutral",1
"13751","weekday calls ","Neutral",1
"13752","patronising ways ","Neutral",1
"13753","direct apple ","Neutral",1
"13754","placed told ","Neutral",1
"13755","planet last ","Neutral",1
"13756","""pay extra ","Positive",1
"13757","spoke sighed ","Neutral",1
"13758","still store ","Neutral",1
"13759","years cared ","Neutral",1
"13760","sing dance"", ","Positive",1
"13761","sim turn ","Neutral",1
"13762","plans regard ","Neutral",1
"13763","sort send ","Neutral",1
"13764","wife provide ","Positive",1
"13765","phoning trying ","Neutral",1
"13766","give pay ","Negative",1
"13767","order start ","Neutral",1
"13768","piste bought ","Neutral",1
"13769","game go ","Neutral",1
"13770","token gesture ","Neutral",1
"13771","blocking nuisance ","Negative",1
"13772","ordero lot ","Neutral",1
"13773","spiralled two ","Neutral",1
"13774","wife giving ","Positive",1
"13775","offending call ","Negative",1
"13776","really unhappy ","Negative",1
"13777","account bacs ","Neutral",1
"13778","please contract ","Positive",1
"13779","stating new ","Positive",1
"13780","experiencedfive minuted ","Neutral",1
"13781","mne broken ","Negative",1
"13782","manager waited ","Neutral",1
"13783","ticket purchases ","Neutral",1
"13784","initially connect ","Neutral",1
"13785","bolton purchasing ","Neutral",1
"13786","excluded month ","Negative",1
"13787","gave quite ","Neutral",1
"13788","guy deservers ","Neutral",1
"13789","solved initiaqlly ","Positive",1
"13790","misinformed option ","Negative",1
"13791","holders nothing ","Neutral",1
"13792","wanna see ","Neutral",1
"13793","sim find ","Neutral",1
"13794","count getting ","Neutral",1
"13795","complaint ongoing ","Negative",1
"13796","cancel policy"", ","Negative",1
"13797","throughout contract ","Neutral",1
"13798","morons"", ""placed ","Negative",1
"13799","new staff ","Positive",1
"13800","since refresh ","Positive",1
"13801","day promised ","Positive",1
"13802","different ipad ","Neutral",1
"13803","decision awful ","Negative",1
"13804","waiting responsetoday ","Neutral",1
"13805","spend £s ","Neutral",1
"13806","given money ","Positive",1
"13807","telling free ","Positive",1
"13808","service wanted ","Neutral",1
"13809","help got ","Neutral",1
"13810","years forced ","Negative",1
"13811","ltd £ ","Neutral",1
"13812","marked told ","Neutral",1
"13813","berkeley gloucestershire ","Neutral",1
"13814","cant offer ","Positive",1
"13815","lost words ","Negative",1
"13816","calls occurred ","Neutral",1
"13817","clear huawei ","Positive",1
"13818","havent told ","Neutral",1
"13819","ran fault ","Negative",1
"13820","emailed ask ","Neutral",1
"13821","must grow ","Positive",1
"13822","""poor sales ","Negative",1
"13823","using street ","Neutral",1
"13824","anyway put ","Neutral",1
"13825","worlds next ","Neutral",1
"13826","problem need ","Negative",1
"13827","rental remainer ","Neutral",1
"13828","dark every ","Negative",1
"13829","credit move ","Positive",1
"13830","times texts ","Neutral",1
"13831","away minded ","Neutral",1
"13832","handset due ","Neutral",1
"13833","t speak ","Neutral",1
"13834","always cheapest ","Neutral",1
"13835","cant used ","Neutral",1
"13836","area etc ","Neutral",1
"13837","repair made ","Neutral",1
"13838","charges otherwise ","Neutral",1
"13839","earth part ","Neutral",1
"13840","made mistakes ","Negative",1
"13841","legal moral ","Positive",1
"13842","advisor apologise ","Neutral",1
"13843","experience months ","Neutral",1
"13844","touch monetary ","Positive",1
"13845","eventually first ","Neutral",1
"13846","cut nd ","Negative",1
"13847","yet signal ","Neutral",1
"13848","thus meaning ","Neutral",1
"13849","found website ","Positive",1
"13850","october quite ","Neutral",1
"13851","resolved come ","Positive",1
"13852","talking apple ","Neutral",1
"13853","wanted fair ","Positive",1
"13854","ever either ","Neutral",1
"13855","take peoples ","Neutral",1
"13856","anything late ","Negative",1
"13857","telling complete ","Neutral",1
"13858","money call ","Positive",1
"13859","stepping shop ","Neutral",1
"13860","friendly picture ","Positive",1
"13861","store beth ","Neutral",1
"13862","terribly sorry ","Negative",1
"13863","people"", 
""o ","Neutral",1
"13864","place treated ","Neutral",1
"13865","something confirm ","Neutral",1
"13866","supervisor mo ","Neutral",1
"13867","shipped hours ","Neutral",1
"13868","based upgrade ","Neutral",1
"13869","hoping somebody ","Positive",1
"13870","pile rubbish ","Negative",1
"13871","post taken ","Neutral",1
"13872","amount users ","Neutral",1
"13873","future company ","Neutral",1
"13874","businesses home ","Neutral",1
"13875","o five ","Neutral",1
"13876","silly company ","Negative",1
"13877","later charge ","Neutral",1
"13878","close direct ","Neutral",1
"13879","wanted smash ","Negative",1
"13880","misses strongest ","Positive",1
"13881","wade colliers ","Neutral",1
"13882","remember s ","Neutral",1
"13883","service doomedborderline ","Neutral",1
"13884","difficult manager ","Negative",1
"13885","go business"", ","Neutral",1
"13886","website every ","Neutral",1
"13887","keep broadband ","Neutral",1
"13888","check meant ","Neutral",1
"13889","carnt phoned ","Neutral",1
"13890","someone person ","Neutral",1
"13891","days seems ","Neutral",1
"13892","
""far phone ","Neutral",1
"13893","letter communication ","Neutral",1
"13894","contract lots ","Neutral",1
"13895","require radical ","Negative",1
"13896","agents helpful ","Positive",1
"13897","arrangements months ","Neutral",1
"13898","drama getting ","Negative",1
"13899","wonder happen ","Neutral",1
"13900","inactive months ","Negative",1
"13901","authorization contacted ","Positive",1
"13902","sim business ","Neutral",1
"13903","hopeless service ","Negative",1
"13904","deny problems ","Negative",1
"13905","purchases taking ","Neutral",1
"13906","legal letters ","Positive",1
"13907","later issue ","Neutral",1
"13908","wasters"", 
""customer ","Neutral",1
"13909","number companies ","Neutral",1
"13910","used next ","Neutral",1
"13911","money doesnt ","Positive",1
"13912","week meantime ","Neutral",1
"13913","attempted b ","Neutral",1
"13914","contract extremely ","Neutral",1
"13915","call answered ","Neutral",1
"13916","customers"", ""lost ","Negative",1
"13917","ons never ","Neutral",1
"13918","multiple discounts ","Neutral",1
"13919","signed paperwork ","Negative",1
"13920","script competent ","Positive",1
"13921","nothing much ","Neutral",1
"13922","everything phone ","Neutral",1
"13923","fault though ","Negative",1
"13924","paid month ","Neutral",1
"13925","spoken supposedly ","Neutral",1
"13926","click finger ","Neutral",1
"13927","number exist ","Neutral",1
"13928","lies change"", ","Negative",1
"13929","nothing improve ","Positive",1
"13930","try turning ","Neutral",1
"13931","contract condictionary ","Neutral",1
"13932","upgrading tarriff ","Neutral",1
"13933","card thought ","Neutral",1
"13934","incur debt ","Negative",1
"13935","every forum ","Neutral",1
"13936","behind back ","Neutral",1
"13937","told twice ","Neutral",1
"13938","pac o ","Neutral",1
"13939","view bills ","Neutral",1
"13940","years cancel ","Negative",1
"13941","teams guess ","Neutral",1
"13942","best depending ","Positive",1
"13943","point coach ","Neutral",1
"13944","years given ","Neutral",1
"13945","permission swap ","Positive",1
"13946","customers sweet ","Positive",1
"13947","find store ","Neutral",1
"13948","software issue ","Neutral",1
"13949","best got ","Positive",1
"13950","fella called ","Neutral",1
"13951","now pushed ","Neutral",1
"13952","purely one ","Positive",1
"13953","given runaround ","Neutral",1
"13954","bill services ","Neutral",1
"13955","feewrong sim ","Neutral",1
"13956","go via ","Neutral",1
"13957","complain insulting ","Negative",1
"13958","checking formed ","Neutral",1
"13959","honestly cried ","Negative",1
"13960","query gave ","Neutral",1
"13961","people day ","Neutral",1
"13962","stand one ","Neutral",1
"13963","times disappointed ","Negative",1
"13964","agent useless ","Negative",1
"13965","now sunk ","Negative",1
